Model,Dim,STD,K-Means,Spectral,GMM
CAE,2,-,72.1,72.2,76.1
CVAE,3,1,71.1,72.0,73.0
VAE,2,1e-13,73.8,72.5,73.3
CVAE,4,1e-13,74.0,74.7,67.5
VAE,5,1,71.2,70.9,74.0
CVAE,2,1e-13,67.5,61.1,65.6
CAE,3,-,69.4,72.4,67.9
VAE,3,1e-13,73.7,75.6,75.0
CVAE,2,1,70.6,71.1,71.9
CVAE,5,1,72.0,70.9,72.0
CAE,5,-,70.9,73.3,72.9
AE,2,-,72.0,73.2,71.7
CVAE,3,1e-13,75.9,75.9,68.4
VAE,5,1e-13,74.4,70.4,73.8
VAE,6,1e-13,69.5,64.4,72.2
VAE,3,1,70.7,69.6,71.3
VAE,2,1,73.2,70.8,73.7
AE,3,-,72.6,71.4,73.4
AE,5,-,72.6,70.8,73.1
VAE,4,1,70.7,68.2,71.5
CVAE,6,1e-13,68.1,75.4,71.3
AE,4,-,74.7,74.4,74.1
CAE,6,-,74.8,76.6,71.0
VAE,4,1e-13,70.7,66.6,75.9
CVAE,5,1e-13,69.1,72.1,68.9
VAE,6,1,71.3,74.4,74.0
CAE,4,-,72.5,75.1,72.5
AE,6,-,74.8,74.6,73.4
CVAE,6,1,72.0,74.0,73.4
CVAE,4,1,71.1,71.1,71.4
